,ASANAČNÝ PODNIK ,BAGAROVA ,BRATISLAVSKÁ ,BRODNO ,BRODŇANSKÁ ,BUDATÍNSKA ,BYTČIANSKA ,"BYTČIANSKA,STS ",CENTRÁLNA ,CESTÁRSKA ,CINTORÍNSKA ,DOLNÁ ,DOLNÁ TRNOVSKÁ ,FATRANSKÁ ,FURDEKOVA ,CHLMECKÁ ,HÁLKOVA ,HLINSKÁ ,HOLLÉHO ,HORNÁ TRNOVSKÁ ,HÔRECKÁ ,HRIČOVSKÁ ,PRIEHRADA ,HURBANOVA ,HVIEZDOSLAVOVA ,HYZA ,JAKUBSKÁ ,JASEŇOVÁ ,JASTRABIA ,JEDĽOVÁ ,"KAMENNÁ,DOM.POT ","KAMENNÁ,KOVOŠRO ","KAMENNÁ,Š.O.K. ","KAMENNÁ,PRIUS ",K CINTORÍNU ,KOLIBA ,KOMENSKÉHO ,KORTINSKÁ ,KOŠICKÁ ,KRAGUJEVSKÁ ,KVAČALOVA ,KYSUCKÁ ,LETNÁ ,LIMBOVÁ ,MAGOČOVSKÁ ,MATEJA BELA ,MOSTNÁ ,MATICE SLOVENSK ,MOTEL ŠIBENICE ,NA LÁNY ,NA STANICU ,NÁM.SV.JÁNA BOS ,NÁM.HRDINOV ,NA STRANÍK ,OBCHODNÁ ,OCELIARSKA ,OSLOBODENIA ,OVOCINÁRSKA ,PAŽITE ,PIETNA ,POD KOZINOM ,POD VINICOU ,POD ZÁHRADKOU ,POLÍCIA ,POĽNÁ ,POŠTOVÁ ,POTOKY ,PREDMESTSKÁ ,PRI CELULÓZKE ,PRIEHRADNÁ ,PRIELOŽNÁ ,PRIEMYSELNÁ ,PRI KYSUCI ,"RAJECKÁ,ELV ","RAJECKá,MLIEK. ","RAJECKÁ,STAVOMO ",RAKOVÉ ,RÁZCESTIE HRIČO ,RÁZUSOVA ,ROSINKY ,"ROSINSKÁ,PLEM.P ","ROSINSKÁ,VÚVT ",RUDNAYOVA ,SALAŠ ,SALEZIÁNSKA ,SLNEČNÉ NÁMESTI ,SMREKOVÁ ,SPANYOLOVA ,STODOLOVA ,SV.CYRILA A MET ,"ŠIBENICE,STK ",ŠTEFÁNIKOVO NÁM ,ŠTÚROVO NÁMESTI ,TAJOVSKÉHO ,TULIPÁNOVÁ ,ÚDOLNÁ ,VEĽKÁ OKRUŽNÁ ,ŽIL.UNIVERZITA ,VETERNÁ ,VRANIA ,"BÁNOVÁ, COLNICA ",VYSOKOŠKOLÁKOV ,ZÁBREŽNÁ ,PRÍPOJNÁ ,ZÁVODSKÁ ,ZÁVODSKÉHO ,ŽITNÁ ,ŽEL.STANICA ,KULTURNY DOM ,ZVOLENSKA ,Rybné námestie ,Careefour ,"Košická,Tesco H ","Na Horevaží,Tes ",Pod Hájom ,Bánovská cesta ,Bernolákova ,ŽILINSKÁ LEHOTA 
MOSTNÁ ,0,0,0,1,0,0,0,2,5,0,0,0,0,24,0,0,1,10,0,0,2,0,0,41,0,2,1,50,0,0,0,0,1,0,0,0,2,0,0,1,2,2,0,43,2,5,0,87,0,2,0,0,2,2,8,0,1,1,0,0,0,0,0,11,7,4,0,7,1,2,0,0,4,0,1,0,2,0,0,0,2,2,7,0,0,15,50,7,37,28,0,55,4,1,2,2,0,65,0,1,2,5,0,2,5,6,0,71,2,4,0,2,11,0,8,0,0,0
MATICE SLOVENSK ,0,1,2,4,5,2,2,15,1,2,2,2,0,10,1,2,22,45,5,2,4,0,0,247,2,0,4,63,1,5,2,2,1,1,4,0,10,1,0,1,7,5,4,88,2,9,56,0,0,0,11,3,4,2,14,7,2,1,10,0,0,3,2,186,125,9,0,33,0,9,1,1,6,7,3,8,2,2,0,0,0,1,8,0,3,37,75,115,78,8,0,144,57,2,3,1,6,23,4,2,2,42,1,2,14,10,11,182,36,3,4,2,53,1,62,4,5,0
MOTEL ŠIBENICE ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA LÁNY ,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,22,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,2,1,0,0,0,0,0,4,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NA STANICU ,0,0,0,5,2,0,0,0,0,0,0,0,0,7,0,0,8,1,1,1,1,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,2,0,0,0,11,0,0,0,0,1,1,8,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,9,1,20,0,0,0,0,0,0,1,0,3,1,0,2,6,2,0,11,25,0,0,0,1,1,0,0,0,2,0,0,1,2,0,19,1,3,0,0,0,0,0,0,1,0
NÁM.SV.JÁNA BOS ,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,1,0,1,0,7,0,1,0,0,0,0,0,0,1,1,4,2,0,0,0,0,0,0,0,0,0
NÁM.HRDINOV ,0,0,0,0,3,1,2,13,0,0,0,0,0,3,0,1,3,0,0,1,0,0,0,42,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,3,0,0,1,3,0,0,0,1,0,4,2,0,1,0,1,0,0,0,0,2,4,1,0,0,2,0,0,1,3,2,2,0,0,0,0,1,0,0,1,0,1,0,4,3,3,5,0,4,9,1,0,5,1,6,1,0,0,0,1,3,1,0,1,8,3,4,2,5,3,0,0,0,0,0
NA STRANÍK ,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,14,0,0,3,0,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0
OBCHODNÁ ,0,1,1,3,6,0,0,0,2,0,1,0,1,10,3,0,20,13,0,9,3,0,0,75,3,2,9,10,0,0,2,0,0,0,1,1,2,1,0,0,3,3,0,21,1,10,11,29,0,1,17,1,6,3,0,0,0,9,0,0,0,0,2,74,47,0,2,31,0,1,0,0,7,9,6,2,0,0,0,0,1,1,4,0,1,16,21,34,28,7,0,70,36,0,1,6,1,2,3,3,1,6,0,0,6,0,2,125,6,1,6,1,34,1,9,0,4,0
OCELIARSKA ,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,2,0,4,0,0,5,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,9,0,0,1,0,1,0,0,0,0,0
